COMMAND                               PID              USER   FD      TYPE         NODE NAME
scsi_tmf_0                             92              root  cwd       DIR         2 /
scsi_tmf_0                             92              root root       DIR         2 /
scsi_tmf_0                             92              root  exe   unknown             
scsi_eh_1                              93              root  cwd       DIR         2 /
scsi_eh_1                              93              root root       DIR         2 /
scsi_eh_1                              93              root  exe   unknown             
scsi_tmf_1                             94              root  cwd       DIR         2 /
scsi_tmf_1                             94              root root       DIR         2 /
scsi_tmf_1                             94              root  exe   unknown             
vfio-irqfd-clea                        96              root  cwd       DIR         2 /
vfio-irqfd-clea                        96              root root       DIR         2 /
vfio-irqfd-clea                        96              root  exe   unknown             
ipv6_addrconf                          98              root  cwd       DIR         2 /
ipv6_addrconf                          98              root root       DIR         2 /
ipv6_addrconf                          98              root  exe   unknown             
kstrp                                 107              root  cwd       DIR         2 /
kstrp                                 107              root root       DIR         2 /
kstrp                                 107              root  exe   unknown             
zswap-shrink                          110              root  cwd       DIR         2 /
zswap-shrink                          110              root root       DIR         2 /
zswap-shrink                          110              root  exe   unknown             
kworker/u3:0                          111              root  cwd       DIR         2 /
kworker/u3:0                          111              root root       DIR         2 /
kworker/u3:0                          111              root  exe   unknown             
charger_manager                       116              root  cwd       DIR         2 /
charger_manager                       116              root root       DIR         2 /
charger_manager                       116              root  exe   unknown             
kworker/0:1H-kblockd                  117              root  cwd       DIR         2 /
kworker/0:1H-kblockd                  117              root root       DIR         2 /
kworker/0:1H-kblockd                  117              root  exe   unknown             
scsi_eh_2                             159              root  cwd       DIR         2 /
scsi_eh_2                             159              root root       DIR         2 /
scsi_eh_2                             159              root  exe   unknown             
scsi_tmf_2                            160              root  cwd       DIR         2 /
scsi_tmf_2                            160              root root       DIR         2 /
scsi_tmf_2                            160              root  exe   unknown             
scsi_eh_3                             162              root  cwd       DIR         2 /
scsi_eh_3                             162              root root       DIR         2 /
scsi_eh_3                             162              root  exe   unknown             
scsi_tmf_3                            163              root  cwd       DIR         2 /
scsi_tmf_3                            163              root root       DIR         2 /
scsi_tmf_3                            163              root  exe   unknown             
jbd2/sda5-8                           186              root  cwd       DIR         2 /
jbd2/sda5-8                           186              root root       DIR         2 /
jbd2/sda5-8                           186              root  exe   unknown             
ext4-rsv-conver                       187              root  cwd       DIR         2 /
ext4-rsv-conver                       187              root root       DIR         2 /
ext4-rsv-conver                       187              root  exe   unknown             
systemd-journal                       226              root  cwd       DIR         2 /
systemd-journal                       226              root root       DIR         2 /
systemd-journal                       226              root  exe       REG    142490 /usr/lib/systemd/systemd-journald
systemd-journal                       226              root  mem       REG     16528 /var/log/journal/7bc08241232b46239b2465032fb365f3/system.journal
systemd-journal                       226              root  mem       REG     16530 /var/log/journal/7bc08241232b46239b2465032fb365f3/user-1000.journal
systemd-journal                       226              root  mem       REG    143590 /usr/lib/x86_64-linux-gnu/libcap-ng.so.0.0.0
systemd-journal                       226              root  mem       REG    144211 /usr/lib/x86_64-linux-gnu/libm-2.31.so
systemd-journal                       226              root  mem       REG    144704 /usr/lib/x86_64-linux-gnu/libudev.so.1.6.17
systemd-journal                       226              root  mem       REG    143508 /usr/lib/x86_64-linux-gnu/libaudit.so.1.0.0
systemd-journal                       226              root  mem       REG    144710 /usr/lib/x86_64-linux-gnu/libunistring.so.2.1.0
systemd-journal                       226              root  mem       REG    143947 /usr/lib/x86_64-linux-gnu/libgpg-error.so.0.28.0
systemd-journal                       226              root  mem       REG    144160 /usr/lib/x86_64-linux-gnu/libjson-c.so.4.0.0
systemd-journal                       226              root  mem       REG    143480 /usr/lib/x86_64-linux-gnu/libargon2.so.1
systemd-journal                       226              root  DEL       REG    137998 /usr/lib/x86_64-linux-gnu/libcrypto.so.1.1 (deleted)
systemd-journal                       226              root  mem       REG    143703 /usr/lib/x86_64-linux-gnu/libdevmapper.so.1.02.1
systemd-journal                       226              root  mem       REG    144737 /usr/lib/x86_64-linux-gnu/libuuid.so.1.3.0
systemd-journal                       226              root  mem       REG    143706 /usr/lib/x86_64-linux-gnu/libdl-2.31.so
systemd-journal                       226              root  mem       REG    144416 /usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.9.0
systemd-journal                       226              root  mem       REG    144473 /usr/lib/x86_64-linux-gnu/libpthread-2.31.so
systemd-journal                       226              root  mem       REG    144208 /usr/lib/x86_64-linux-gnu/liblzma.so.5.2.4
systemd-journal                       226              root  mem       REG    144567 /usr/lib/x86_64-linux-gnu/libseccomp.so.2.4.3
systemd-journal                       226              root  mem       REG    144534 /usr/lib/x86_64-linux-gnu/librt-2.31.so
systemd-journal                       226              root  mem       REG    144377 /usr/lib/x86_64-linux-gnu/libpam.so.0.84.2
systemd-journal                       226              root  mem       REG    144234 /usr/lib/x86_64-linux-gnu/libmount.so.1.1.0
