COMMAND	PID	USER	FD	TYPE	NODE	NAME
acpi_ther	90	root	rtd	DIR	2	/
acpi_ther	90	root	txt	unknown		
scsi_eh_0	91	root	cwd	DIR	2	/
scsi_eh_0	91	root	rtd	DIR	2	/
scsi_eh_0	91	root	txt	unknown		
scsi_tmf_	92	root	cwd	DIR	2	/
scsi_tmf_	92	root	rtd	DIR	2	/
scsi_tmf_	92	root	txt	unknown		
scsi_eh_1	93	root	cwd	DIR	2	/
scsi_eh_1	93	root	rtd	DIR	2	/
scsi_eh_1	93	root	txt	unknown		
scsi_tmf_	94	root	cwd	DIR	2	/
scsi_tmf_	94	root	rtd	DIR	2	/
scsi_tmf_	94	root	txt	unknown		
vfio-irqf	96	root	cwd	DIR	2	/
vfio-irqf	96	root	rtd	DIR	2	/
vfio-irqf	96	root	txt	unknown		
ipv6_addr	98	root	cwd	DIR	2	/
ipv6_addr	98	root	rtd	DIR	2	/
ipv6_addr	98	root	txt	unknown		
kstrp	107	root	cwd	DIR	2	/
kstrp	107	root	rtd	DIR	2	/
kstrp	107	root	txt	unknown		
zswap-shr	110	root	cwd	DIR	2	/
zswap-shr	110	root	rtd	DIR	2	/
zswap-shr	110	root	txt	unknown		
kworker/u	111	root	cwd	DIR	2	/
kworker/u	111	root	rtd	DIR	2	/
kworker/u	111	root	txt	unknown		
charger_m	116	root	cwd	DIR	2	/
charger_m	116	root	rtd	DIR	2	/
charger_m	116	root	txt	unknown		
kworker/0	117	root	cwd	DIR	2	/
kworker/0	117	root	rtd	DIR	2	/
kworker/0	117	root	txt	unknown		
scsi_eh_2	159	root	cwd	DIR	2	/
scsi_eh_2	159	root	rtd	DIR	2	/
scsi_eh_2	159	root	txt	unknown		
scsi_tmf_	160	root	cwd	DIR	2	/
scsi_tmf_	160	root	rtd	DIR	2	/
scsi_tmf_	160	root	txt	unknown		
scsi_eh_3	162	root	cwd	DIR	2	/
scsi_eh_3	162	root	rtd	DIR	2	/
scsi_eh_3	162	root	txt	unknown		
scsi_tmf_	163	root	cwd	DIR	2	/
scsi_tmf_	163	root	rtd	DIR	2	/
scsi_tmf_	163	root	txt	unknown		
jbd2/sda5	186	root	cwd	DIR	2	/
jbd2/sda5	186	root	rtd	DIR	2	/
jbd2/sda5	186	root	txt	unknown		
ext4-rsv-	187	root	cwd	DIR	2	/
ext4-rsv-	187	root	rtd	DIR	2	/
ext4-rsv-	187	root	txt	unknown		
systemd-j	226	root	cwd	DIR	2	/
systemd-j	226	root	rtd	DIR	2	/
systemd-j	226	root	txt	REG	142490	/usr/lib/systemd/systemd-journald
systemd-j	226	root	mem	REG	16528	/var/log/journal/7bc08241232b46239b2465032fb365f3/system.journal
systemd-j	226	root	mem	REG	16530	/var/log/journal/7bc08241232b46239b2465032fb365f3/user-1000.journal
systemd-j	226	root	mem	REG	143590	/usr/lib/x86_64-linux-gnu/libcap-ng.so.0.0.0
systemd-j	226	root	mem	REG	144211	/usr/lib/x86_64-linux-gnu/libm-2.31.so
systemd-j	226	root	mem	REG	144704	/usr/lib/x86_64-linux-gnu/libudev.so.1.6.17
systemd-j	226	root	mem	REG	143508	/usr/lib/x86_64-linux-gnu/libaudit.so.1.0.0
systemd-j	226	root	mem	REG	144710	/usr/lib/x86_64-linux-gnu/libunistring.so.2.1.0
systemd-j	226	root	mem	REG	143947	/usr/lib/x86_64-linux-gnu/libgpg-error.so.0.28.0
systemd-j	226	root	mem	REG	144160	/usr/lib/x86_64-linux-gnu/libjson-c.so.4.0.0
systemd-j	226	root	mem	REG	143480	/usr/lib/x86_64-linux-gnu/libargon2.so.1
systemd-j	226	root	DEL	REG	/usr/lib/x86_64-linux-gnu/libcrypto.so.1.1	
systemd-j	226	root	mem	REG	143703	/usr/lib/x86_64-linux-gnu/libdevmapper.so.1.02.1
systemd-j	226	root	mem	REG	144737	/usr/lib/x86_64-linux-gnu/libuuid.so.1.3.0
systemd-j	226	root	mem	REG	143706	/usr/lib/x86_64-linux-gnu/libdl-2.31.so
systemd-j	226	root	mem	REG	144416	/usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.9.0
systemd-j	226	root	mem	REG	144473	/usr/lib/x86_64-linux-gnu/libpthread-2.31.so
systemd-j	226	root	mem	REG	144208	/usr/lib/x86_64-linux-gnu/liblzma.so.5.2.4
systemd-j	226	root	mem	REG	144567	/usr/lib/x86_64-linux-gnu/libseccomp.so.2.4.3
systemd-j	226	root	mem	REG	144534	/usr/lib/x86_64-linux-gnu/librt-2.31.so
systemd-j	226	root	mem	REG	144377	/usr/lib/x86_64-linux-gnu/libpam.so.0.84.2
systemd-j	226	root	mem	REG	144234	/usr/lib/x86_64-linux-gnu/libmount.so.1.1.0
systemd-j	226	root	mem	REG	144206	/usr/lib/x86_64-linux-gnu/liblz4.so.1.9.2
systemd-j	226	root	mem	REG	144168	/usr/lib/x86_64-linux-gnu/libkmod.so.2.3.5
systemd-j	226	root	mem	REG	144128	/usr/lib/x86_64-linux-gnu/libip4tc.so.2.0.0
systemd-j	226	root	mem	REG	144115	/usr/lib/x86_64-linux-gnu/libidn2.so.0.3.6
systemd-j	226	root	mem	REG	143871	/usr/lib/x86_64-linux-gnu/libgcrypt.so.20.2.5
systemd-j	226	root	mem	REG	143654	/usr/lib/x86_64-linux-gnu/libcryptsetup.so.12.5.0
systemd-j	226	root	mem	REG	143651	/usr/lib/x86_64-linux-gnu/libcrypt.so.1.1.0
systemd-j	226	root	mem	REG	143592	/usr/lib/x86_64-linux-gnu/libcap.so.2.32
systemd-j	226	root	mem	REG	143548	/usr/lib/x86_64-linux-gnu/libblkid.so.1.1.0
systemd-j	226	root	mem	REG	143459	/usr/lib/x86_64-linux-gnu/libacl.so.1.1.2253
systemd-j	226	root	mem	REG	144570	/usr/lib/x86_64-linux-gnu/libselinux.so.1
systemd-j	226	root	mem	REG	142472	/usr/lib/systemd/libsystemd-shared-245.so
